Drug,Y,chembl_id
N#CC(C#N)=Cc1cc(O)cc(O)c1,37000.0,CHEMBL76905
COc1ccc(/C=C(\C#N)C(=O)O)cc1,833000.0,CHEMBL77524
Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,29.0,CHEMBL305194
COc1cc(/C=C(\C#N)C(=O)O)ccc1O,325000.0,CHEMBL307250
COc1cc(C=C(C#N)C#N)cc(O)c1O,6000.0,CHEMBL80155
Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,200.0,CHEMBL343352
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,44.0,CHEMBL52765
COc1ccc(C(O)=C(C#N)C#N)cc1,450000.0,CHEMBL311564
N#C/C(=C/c1cc(O)ccc1O)C(=O)O,75000.0,CHEMBL76642
Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,4.7,CHEMBL308645
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,1.8,CHEMBL67003
N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,640000.0,CHEMBL307248
N#CC(C#N)=NNc1ccc(O)cc1,225000.0,CHEMBL310958
N#CC(C#N)=Cc1ccc2c(c1)OCO2,350000.0,CHEMBL78005
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,11.0,CHEMBL134312
CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,55000.0,CHEMBL77243
COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,1200.0,CHEMBL80745
N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,450000.0,CHEMBL77778
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,2.8,CHEMBL305246
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,18.0,CHEMBL69966
